index,City,State,Zip,Bank,BankState,NAICS,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,MIS_Status
45,CENTRAL POINT,OR,97502,KEYBANK NATIONAL ASSOCIATION,OH,811121,4,1,0,4,0,2,Y,N,89224,0,30000,15000,0
46,APOPKA,FL,32712,BBCN BANK,CA,561790,2,2,8,2,1,2,0,N,5000,0,5000,4250,1
47,DULUTH,GA,30097,BBCN BANK,CA,445310,5,1,0,5,1,1,0,N,750000,0,750000,562500,0
48,SPOKANE,WA,99216,BANNER BANK,WA,722211,10,2,0,0,78760,1,N,N,52391,0,52391,44532,0
49,SYOSSET,NY,11791,JPMORGAN CHASE BANK NATL ASSOC,IL,0,3,2,0,0,1,0,0,N,50000,0,50000,25000,0
50,CHICAGO,IL,60639,BANCO POPULAR NORTH AMERICA,IL,452990,1,1,0,0,1,0,N,Y,20000,0,20000,16000,0
51,MILPITAS,CA,95035,WELLS FARGO BANK NATL ASSOC,SD,561740,8,1,0,0,1,0,N,N,210000,0,210000,178500,0
52,INDIANAPOLIS,IN,46254,"PNC BANK, NATIONAL ASSOCIATION",DE,561720,3,1,1,4,1,1,Y,N,18000,0,18000,9000,1
53,REGO PARK,NY,11374,MERCANTIL COMMERCEBANK NATL AS,NY,485310,1,1,0,0,1,0,N,N,37930,0,37930,30344,0
54,BLUEBELL,UT,84007,MOUNTAIN AMERICA FCU,UT,235990,2,2,0,2,1,2,0,N,10000,0,10000,5000,0
55,KELLER,TX,76248,JPMORGAN CHASE BANK NATL ASSOC,IL,235420,1,2,2,1,0,1,N,N,25300,0,25300,12650,0
56,INDIANAPOLIS,IN,46203,NATL BK OF INDIANAPOLIS,IN,325412,5,1,3,5,1,1,Y,N,181000,0,150000,75000,0
57,HYANNIS,MA,2601,BANK OF AMERICA NATL ASSOC,MA,0,7,1,0,0,1,0,Y,N,75000,0,75000,37500,0
58,HUNTSVILLE,AL,35801,REDSTONE FCU,AL,722211,6,2,0,0,1,1,0,Y,75000,0,75000,63750,0
59,MILWAUKEE,WI,53222,U.S. BANK NATIONAL ASSOCIATION,OH,611620,4,1,0,4,0,1,N,N,64000,0,64000,32000,0
60,"PALATINE, IL 60067",IL,60067,CAPITAL ONE NATL ASSOC,VA,485320,32,1,0,32,0,1,N,N,35000,0,35000,17500,0
61,AMORY,MS,38821,CADENCE BANK NATL ASSOC,MS,0,3,2,0,0,1,0,0,Y,100000,0,100000,80000,0
62,DALLAS,TX,75201,WELLS FARGO BANK NATL ASSOC,SD,561110,4,1,0,4,0,1,Y,N,44897,0,25000,12500,0
63,TUCSON,AZ,85731,COMPASS BANK,AL,0,20,1,20,20,1,1,0,N,950000,0,950000,712500,0
64,LUBBOCK,TX,79415,AMERICAN BANK OF COMMERCE,TX,0,5,1,0,0,1,0,N,Y,95000,0,95000,71250,0
65,SUMMERVILL,GA,30747,LOANS FROM OLD CLOSED LENDERS,DC,541940,25,1,0,0,1,0,0,N,150000,0,150000,112500,0
66,LONG BEACH,CA,90804,SUNWEST BANK,CA,541110,2,2,0,2,1,1,0,N,100000,0,100000,85000,1
67,DUMONT,CO,80436,"COLORADO LENDING SOURCE, LTD.",CO,236115,6,1,6,0,1,2,N,N,286000,0,286000,286000,0
68,LOS ANGELES,CA,90016,BBCN BANK,CA,422310,2,1,0,2,1,0,0,N,5000,0,5000,4250,0
69,MOUNT AIRY,NC,27030,SURREY BANK & TRUST,NC,441120,4,1,0,4,1,2,Y,N,86898,0,25000,12500,0
70,GROSSE POINTE,MI,48236,TALMER BANK AND TRUST,MI,238220,8,1,1,3,0,1,N,N,75000,0,75000,37500,0
71,EAST NORTHPORT,NY,11731,BANK OF AMERICA NATL ASSOC,NC,236115,1,2,0,1,0,1,Y,N,163400,0,80000,40000,1
72,WEST FRANFORT,IL,62896,BANTERRA BANK,IL,0,3,2,0,0,1,0,0,N,60000,0,60000,45000,0
73,KENVIL,NJ,7847,BANK OF AMERICA NATL ASSOC,NC,812990,20,2,0,20,1,1,Y,N,70433,0,26500,13250,1
74,EMMETT,ID,83617,"CAPITAL MATRIX, INC.",ID,0,38,1,38,0,1,0,N,N,283000,0,283000,283000,0
75,ASPINWALL,PA,15215,ENTERPRISE BANK,PA,451110,4,2,0,0,1,1,N,N,100000,0,240000,180000,0
76,DANIELSON,CT,6239,CAPITAL ONE NATL ASSOC,VA,424490,8,1,0,0,1,1,N,N,50000,0,50000,25000,0
77,Boise,ID,83716,KEYBANK NATIONAL ASSOCIATION,OH,238220,2,2,0,0,0,1,Y,N,23500,0,10000,5000,0
78,Berlin,WI,54923,THE FARMERS & MERCHANTS BANK,WI,111150,1,1,0,1,0,2,N,N,41000,0,41000,20500,0
79,CLAREMONT,NH,3743,CITIZENS BANK NATL ASSOC,NH,421810,17,1,0,0,1,0,N,N,350000,0,350000,297500,0
80,CHASKA,MN,55318,PRAIRIELAND ECONOMIC DEVEL COR,MN,441310,9,1,3,9,56925,1,0,N,540000,0,540000,540000,0
81,GLENDALE,AZ,85308,BANK OF AMERICA NATL ASSOC,NC,238350,3,2,0,0,1,1,Y,N,45166,0,10000,5000,0
82,YAKIMA,WA,98902,U.S. BANK NATIONAL ASSOCIATION,OH,812111,1,1,4,5,1,1,Y,N,10104,0,10000,5000,0
83,HARMONY,PA,16037,ALLEGHENY VALLEY BK OF PITTSBU,PA,233210,4,1,0,0,1,0,N,N,239900,0,239900,179925,0
84,SAN ANTONIO,TX,78216,WELLS FARGO BANK NATL ASSOC,SD,423310,5,1,0,5,1,1,Y,N,25000,0,25000,12500,1
85,AUSTIN,TX,78728,JPMORGAN CHASE BANK NATL ASSOC,IL,335932,7,1,1,7,0,1,N,N,102100,0,102100,51050,1
86,AUSTIN,TX,78745,CAPITAL ONE NATL ASSOC,VA,621340,34,1,3,34,0,1,N,N,100000,0,100000,50000,1
87,WALNUT CREEK,CA,94596,BANK OF AMERICA CALIFORNIA N.A,CA,0,5,2,0,0,79305,0,N,Y,70000,0,70000,63000,0
88,WENTZVILLE,MO,63385,FIRST BANK,MO,441221,3,1,0,0,1,0,N,N,175000,0,175000,131250,0
89,LAKE FOREST,CA,92630,INTERNATL CITY BANK NATL ASSOC,CA,424490,5,1,0,5,1,0,0,A,150000,0,150000,127500,1
90,SUN VALLEY,CA,91352,MISSION VALLEY BANK,CA,339999,35,1,0,35,1,1,Y,N,238515,0,100000,50000,0
91,ST. CHARLES,MO,63304,LINDELL BANK & TRUST COMPANY,MO,0,4,2,0,0,1,1,0,Y,125000,0,125000,93750,1
92,PARMA,OH,44129,CITIZENS BANK NATL ASSOC,RI,421690,1,2,0,0,1,1,N,N,126000,0,126000,94500,0
93,BALA CYNWYD,PA,19004,WELLS FARGO BANK NATL ASSOC,SD,0,2,1,0,0,1,0,N,N,160000,0,160000,128000,0
94,ENGLEWOOD,CO,80112,GE CAP. SMALL BUS. FINAN CORP,TX,421450,6,1,0,6,1,0,0,N,882800,0,882800,662100,0
95,CHARLOTTE,NC,28273,SELF-HELP VENTURES FUND,NC,811111,4,2,5,0,1,1,0,N,295000,0,295000,295000,0
96,BREMERTON,WA,98310,BANK OF AMERICA NATL ASSOC,NC,447110,3,1,0,3,1,1,0,N,49500,0,49500,24750,0
97,KANSAS CITY,MO,64133,UNION BANK,MO,0,9,1,0,0,0,0,N,N,200000,0,200000,180000,1
98,CHICAGO,IL,60606,CITIZENS BANK NATL ASSOC,RI,424450,2,1,0,2,1,1,T,N,290861,0,75000,37500,0
99,SOUTH HAVEN,MI,49090,WELLS FARGO BANK NATL ASSOC,SD,0,10,1,0,0,26650,0,0,N,1229000,0,1229000,646454,0
100,POUND RIDGE,NY,10576,JPMORGAN CHASE BANK NATL ASSOC,IL,0,1,1,0,1,1,0,T,N,36757,0,25000,12500,0
101,PEARLAND,TX,77584,JPMORGAN CHASE BANK NATL ASSOC,IL,424490,3,1,4,3,1,2,Y,N,75482,0,30000,15000,1
102,WEST PALM BEACH,FL,33407,WELLS FARGO BANK NATL ASSOC,SD,422480,25,1,0,0,1,0,N,N,160000,0,160000,120000,0
103,BOULDER,CO,80302,WELLS FARGO BANK NATL ASSOC,CA,516110,51,1,0,51,1,1,Y,N,100135,0,100000,50000,0
104,BIRMINGHAM,AL,35213,COMPASS BANK,AL,624410,12,1,0,12,1,1,Y,N,30000,0,30000,15000,0
105,GRAPEVINE,TX,76051,WACHOVIA BANK NATL ASSOC,TX,721310,2,2,0,0,1,1,0,Y,40000,0,40000,32000,0
106,ST. LOUIS,MO,63129,BANK OF AMERICA NATL ASSOC,MD,0,7,1,0,0,1,0,Y,N,46164,0,30000,15000,0
107,HARRISONVILLE,MO,64701,"RURAL MISSOURI, INC.",MO,0,60,1,45,15,1,0,N,N,269000,0,269000,269000,0
108,HERMON,ME,4401,BANK OF AMERICA NATL ASSOC,RI,811111,1,1,0,1,1,2,0,N,22100,0,22100,11050,0
109,HONOLULU,HI,96816,BANK OF HAWAII,HI,0,2,1,0,0,1,0,N,Y,50000,0,99000,79200,0
110,PEABODY,MA,1960,SALEM FIVE CENTS SAVINGS BANK,MA,722211,12,2,0,0,1,2,0,Y,100000,0,100000,85000,1
111,MALVERNE,NY,11565,BANCO POPULAR NORTH AMERICA,NY,0,16,1,0,0,1,0,0,N,243220,0,250000,187500,1
112,MANTENO,IL,60450,BMO HARRIS BK NATL ASSOC,IL,311811,3,2,0,0,1,1,0,Y,55000,0,55000,44000,0
113,LOWELL,MI,49331,"PNC BANK, NATIONAL ASSOCIATION",IL,333512,43,1,0,0,1,0,N,N,41000,0,41000,34850,0
114,TULSA,OK,74135,BBCN BANK,CA,448140,1,2,0,1,1,1,0,N,5000,0,5000,4250,0
115,OCEANSIDE,CA,92056,CDC SMALL BUS. FINAN CORP,CA,531210,3,1,1,3,1,1,0,N,296000,0,296000,296000,0
116,KIRKSVILLE,MO,63501,BANK NORTHWEST,MO,0,15,1,0,0,1,0,N,N,400000,0,400000,340000,0
117,BUFFALO,NY,14203,BANK OF AMERICA NATL ASSOC,NC,561492,2,1,0,2,1,1,0,N,17300,0,17300,8650,0
118,PORT HUENEME,CA,93041,WELLS FARGO BANK NATL ASSOC,SD,713940,3,2,2,3,1,1,Y,N,47980,0,30000,15000,1
119,EUGENE,OR,97402,PACIFIC CONTINENTAL BANK,OR,811121,2,1,0,0,1,0,N,N,90000,0,90000,81000,0
120,Norwood Young America,MN,55368,KLEINBANK,MN,722213,30,1,0,30,21780,2,N,N,20000,0,20000,18000,0
121,BRADENTON,FL,34210,UPS CAPITAL BUSINESS CREDIT,CT,445310,2,2,1,2,1,1,0,N,393000,0,393000,294750,0
122,ENGLEWOOD,NJ,7631,VALLEY NATIONAL BANK,NJ,561730,2,1,1,3,1,1,0,N,25000,0,25000,12500,0
123,MINNEAPOLIS,MN,55407,U.S. BANK NATIONAL ASSOCIATION,OH,446130,2,1,2,4,0,1,Y,N,10000,0,10000,8500,1
124,POMONA,CA,91766,U.S. BANK NATIONAL ASSOCIATION,OH,234910,9,1,2,7,1,1,0,N,223200,0,223200,167400,0
125,ROCKVILLE,MD,20850,CITIZENS BANK NATL ASSOC,RI,0,8,2,0,0,1,1,N,Y,100000,0,100000,80000,0
126,NEWPORT BEACH,CA,92660,CDC SMALL BUS. FINAN CORP,CA,233320,65,1,0,35,1,1,N,N,1000000,0,1000000,1000000,0
127,HARTLAND,WI,53029,U.S. BANK NATIONAL ASSOCIATION,OH,444220,10,1,6,16,1,2,Y,N,10000,0,10000,5000,1
128,PHOENIX,AZ,85005,JPMORGAN CHASE BANK NATL ASSOC,IL,0,8,1,0,0,1,0,0,N,75000,0,75000,37500,0
129,MYRTLE BEACH,SC,29577,BANK OF AMERICA NATL ASSOC,NC,713990,1,1,2,3,1,1,N,N,10140,0,10000,5000,0
130,DENVER,CO,80212,BANK OF THE WEST,CO,0,10,1,0,0,1,0,Y,N,30000,0,30000,15000,0
131,BLOOMSBURG,PA,17815,"PNC BANK, NATIONAL ASSOCIATION",DE,812199,3,1,2,5,1,1,Y,N,20000,0,20000,10000,0
132,WADENA,MN,56482,FIRST NATIONAL BANK IN WADENA,MN,0,1,1,0,0,1,0,N,Y,69915,0,95000,85500,0
133,PINON HILLS,CA,92372,WELLS FARGO BANK NATL ASSOC,SD,484110,1,1,0,1,1,1,Y,N,59809,0,30000,15000,1
134,NEW YORK,NY,10001,JPMORGAN CHASE BANK NATL ASSOC,IL,621610,1,1,1,1,0,1,N,N,50000,0,50000,25000,0
135,TAYLORSVILLE,UT,84118,ZIONS FIRST NATIONAL BANK,UT,451220,1,1,0,1,1,1,Y,N,60000,0,50000,25000,0
136,FOUNTAIN VALLEY,CA,92708,U.S. BANK NATIONAL ASSOCIATION,CA,621210,9,1,0,0,1,0,N,N,132000,0,132000,118800,0
137,CHICHESTER,NH,3234,FIRST COLEBROOK BANK,NH,445120,2,2,2,2,1,2,0,N,70000,0,70000,59500,1
138,NEWBURG,WI,53060,"PNC BANK, NATIONAL ASSOCIATION",WI,0,2,1,0,0,0,0,N,N,83000,0,83000,74700,1
139,FISHERS,IN,46038,REGIONS BANK,TN,722320,1,2,4,0,1,1,0,N,165600,0,165600,124200,0
140,DALLAS,TX,75229,JPMORGAN CHASE BANK NATL ASSOC,IL,323111,2,2,0,2,0,1,N,N,25000,0,25000,12500,0
141,Hutto,TX,78634,RANDOLPH-BROOKS FCU,TX,238220,1,2,1,2,0,1,Y,N,113871,0,50000,25000,0
142,PHOENIX,AZ,85053,JPMORGAN CHASE BANK NATL ASSOC,IL,722211,25,1,0,25,0,1,Y,N,112943,0,25000,12500,1
143,KINDER,LA,70648,JPMORGAN CHASE BANK NATL ASSOC,IL,444190,3,2,2,3,0,1,N,N,123300,0,123300,61650,0
144,OVERLAND PARK,KS,66213,"UMB BANK, NATIONAL ASSOCIATION",MO,454390,1,2,0,0,20359,1,0,Y,70000,0,70000,59500,0
145,WALTHAM,MA,2154,BANK OF AMERICA NATL ASSOC,NC,541511,18,1,0,0,1,0,N,N,60000,0,60000,54000,0
146,MADISON HEIGHTS,MI,48071,WELLS FARGO BANK NATL ASSOC,SD,722211,2,2,18,18,60219,1,0,N,171600,0,171600,128700,1
147,WALTHAM,MA,2453,CITIZENS BANK NATL ASSOC,RI,713990,3,1,0,3,1,1,Y,N,10000,0,10000,5000,0
148,Lakeway,TX,78734,WELLS FARGO BANK NATL ASSOC,SD,517919,4,1,0,4,0,1,Y,N,170000,0,150000,75000,0
149,CANYON COUNTRY,CA,91351,BANK OF AMERICA NATL ASSOC,NC,452990,20,1,0,20,0,1,Y,N,75000,0,50000,25000,1
150,GARDENA,CA,90248,"CITIBANK, N.A.",SD,425120,3,1,0,3,1,1,Y,N,150000,0,100000,50000,1
151,CARVER,MA,2330,BANK OF AMERICA NATL ASSOC,MA,0,4,2,0,0,1,0,0,N,100000,0,100000,80000,0
152,FAIRMONT,MN,56031,WELLS FARGO BANK NATL ASSOC,SD,541613,1,1,1,1,1,1,Y,N,58354,0,45000,22500,0
153,HARRISBURG,PA,17113,METRO BANK,PA,811191,1,1,0,0,1,2,N,N,155000,0,155000,127500,0
154,WATERLOO,IA,50701,WELLS FARGO BANK NATL ASSOC,IA,0,1,2,0,0,1,0,N,N,28000,0,28000,25200,0
155,LOS ANGELES,CA,90005,BANK OF AMERICA NATL ASSOC,NC,424330,2,1,0,2,0,1,Y,N,130000,0,50000,25000,0
156,TULSA,OK,74149,BANK OF AMERICA NATL ASSOC,NC,0,17,1,0,0,1,0,N,N,245000,0,245000,208250,1
157,EAST WINDSOR,NJ,8520,"TD BANK, NATIONAL ASSOCIATION",DE,812199,1,2,9,1,0,2,N,N,150000,0,150000,127500,1
158,TAMPA,FL,33612,SOUTHERN COMM. BANK NATL ASSOC,FL,453210,40,1,0,0,1,1,N,N,895923,0,895923,537554,0
159,GRANTSVILLE,UT,84029,ZIONS FIRST NATIONAL BANK,UT,236115,1,1,0,1,0,1,Y,N,50000,0,50000,25000,0
160,ASHEVILLE,NC,28804,BRANCH BK. & TR CO,NC,0,1,2,0,0,1,0,N,Y,81000,0,81000,64800,0
161,IDAHO FALLS,ID,83402,ZIONS FIRST NATIONAL BANK,UT,238290,8,2,2,8,0,1,Y,N,306215,0,135000,67500,0
162,OGDEN,UT,84401,UTAH CERT. DEVEL CO,UT,722410,1,2,30,1,70649,0,N,N,337000,0,337000,337000,0
163,SUMMIT,IL,60501,BMO HARRIS BK NATL ASSOC,IL,812310,2,1,0,0,1,1,0,Y,85000,0,85000,68000,0
164,MINNEAPOLIS,MN,55413,M&I MARSHALL & ILSLEY BANK,MN,722110,25,1,0,0,1,0,N,N,420000,0,420000,315000,0
165,VANCOUVER,WA,98683,U.S. BANK NATIONAL ASSOCIATION,OH,423990,2,1,0,2,0,1,Y,N,197755,0,35000,17500,0
166,YOUNGSVILLE,LA,70592,"MIDSOUTH BANK, N.A.",LA,0,3,1,0,0,1,1,0,Y,38400,0,38400,30720,0
167,HELENA,MT,59602,MOUNTAIN W. BANK NATL ASSOC,MT,0,12,2,0,0,1,0,N,N,217800,0,218800,164100,0
168,BOLINGBROOK,IL,60490,BMO HARRIS BK NATL ASSOC,IL,541512,11,1,4,15,1,1,T,N,176500,0,175000,87500,0
169,SAN PEDRO,CA,90731,BBCN BANK,CA,532230,5,1,0,4,1,1,0,N,100000,0,100000,50000,1
170,OAK PARK,MI,48377,OAKLAND CNTY BUS. FINAN CORP,MI,442210,137,1,14,137,1,0,N,N,750000,0,750000,750000,0
171,ARLINGTON,TX,76011,COMPASS BANK,AL,423390,4,1,0,4,0,1,Y,N,35000,0,35000,17500,1
172,WEST END,CT,6110,BANK OF AMERICA NATL ASSOC,RI,541614,2,1,0,2,1,1,Y,N,32726,0,25000,12500,0
173,HAINESPORT,NJ,8036,SANTANDER BANK NATL ASSOC,DE,561720,12,1,0,12,1,1,0,N,8000,0,8000,4000,0
174,FORT LAUDERDALE,FL,33321,BANK OF AMERICA NATL ASSOC,NC,523930,1,2,0,1,0,1,Y,N,5000,0,5000,2500,0
175,Raleigh,NC,27615,UMPQUA BANK,OR,448120,1,2,1,1,0,1,N,N,28000,0,28000,23800,0
176,CHICAGO,IL,60621,CAPITAL ONE NATL ASSOC,VA,484220,2,1,1,2,1,1,Y,N,29197,0,15000,7500,1
177,MORENO VALLEY,CA,92553,BANK OF AMERICA NATL ASSOC,NC,446110,2,2,2,2,1,1,Y,N,30000,0,30000,15000,0
178,DOYLESTOWN,PA,18901,CITIZENS BANK NATL ASSOC,RI,721191,3,1,0,3,0,1,N,N,15000,0,15000,7500,0
179,LA QUINTA,CA,92253,BANCO POPULAR NORTH AMERICA,NY,621310,6,1,0,6,1,1,0,N,540000,0,540000,405000,1
180,SANTA MONICA,CA,90404,MUFG UNION BANK NATL ASSOC,CA,423940,1,2,0,1,1,1,Y,N,34311,0,10000,5000,1
181,CHILI,NY,14624,MONROE CNTY INDUST DEVEL CORP,NY,0,11,1,11,19,1,0,N,N,315000,0,359000,359000,0
182,SCOTTSDALE,AZ,85255,BANK OF AMERICA NATL ASSOC,NC,237110,1,2,0,0,1,1,Y,N,10000,0,10000,5000,0
183,CRANSTON,RI,2920,CITIZENS BANK NATL ASSOC,RI,453110,4,1,0,4,1,1,Y,N,24194,0,5000,2500,1
184,CRANSTON,RI,2920,ADMIRALS BANK,MA,0,20,1,0,0,1,0,N,N,63000,0,63000,50400,0
185,TOMBALL,TX,77375,"BUSINESS LOAN CENTER, LLC",SC,811191,5,2,5,5,1,1,0,N,958000,0,958000,718500,0
186,EUFAULA,OK,74432,BBCN BANK,CA,446120,1,1,3,1,0,1,N,N,15000,0,15000,12750,0
187,Cincinnatti,OH,45202,"PNC BANK, NATIONAL ASSOCIATION",OH,447190,5,2,0,5,1,1,Y,N,149999,0,50000,25000,0
188,POTTSTOWN,PA,19464,MANUFACTURERS & TRADERS TR CO,NY,451110,4,1,0,0,10505,0,N,N,120000,0,120000,99480,0
189,SALT LAKE CITY,UT,84104,WELLS FARGO BANK NATL ASSOC,SD,0,93,1,0,0,0,0,N,N,63000,0,63000,47250,0
190,WYOMING,MI,49509,UNITED BANK OF MICHIGAN,MI,448310,2,2,0,0,1,0,N,Y,100000,0,100000,90000,0
191,PEKIN,IL,61554,HERGET BANK NATL ASSOC,IL,441310,6,1,0,0,1,2,0,Y,90000,0,100000,85000,1
192,LOUISVILLE,KY,40205,,,0,7,1,0,0,0,0,N,N,92000,0,92000,92000,0
193,SARATOGA SPRINGS,NY,12866,SARATOGA NATL BK & TR CO,NY,722110,21,1,0,0,1,1,0,Y,88000,0,88000,74800,0
194,EAST DENNIS,MA,2641,BANK OF AMERICA NATL ASSOC,RI,811490,1,1,0,1,1,1,Y,N,5000,0,5000,2500,0
195,KANSAS CITY,MO,64116,BANK OF AMERICA NATL ASSOC,NC,322221,2,1,0,2,1,1,Y,N,106000,0,100000,50000,0
196,REDWOOD,CA,94063,GE CAP. SMALL BUS. FINAN CORP,TX,0,5,1,0,0,1,0,0,N,150000,0,150000,112500,0
197,BIRMINGHAM,AL,35242,"READYCAP LENDING, LLC",CA,451120,1,2,7,1,47400,0,0,N,200000,0,200000,150000,1
